Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта
Истребитель демонов: Поезд «Бесконечный»;Харуо Сотодзаки;Япония;боевик, приключения, анимация;2020;1;9.3
Шан-Чи и легенда десяти колец;Дестин Креттон;США;фэнтези, боевик, комедия;2021;2;9.2
Лука;Энрико Касароса;США;анимация, приключения, фэнтези;2021;3;9.1
Зеленая миля;Фрэнк Дарабонт;США;драма;1999;4;9.1
Небо;Игорь Копылов;Россия;военный, драма;2020;5;9.0
FORD против FERRARI;Джеймс Мэнголд;США;биография, драма, спорт;2019;6;9.0
1+1;Оливье Накаш;Франция;комедия, драма, биография;2011;7;9.0
Король Лев;Роджер Аллерс;США;мюзикл, приключения, драма, семейный, комедия, анимация;1994;8;9.0
Хатико: самый верный друг;Лассе Халльстрем;США;семейный, драма;2009;9;8.9
The Box;Ян Джон-ун;Корея;драма, музыка, мюзикл;2021;10;8.9
Побег из Шоушенка;Фрэнк Дарабонт;США;драма, триллер;1994;11;8.9
101 далматинец;Клайд Джероними;США;семейный, приключения, анимация;1961;12;8.9
Пираты Карибского моря: Проклятие черной жемчужины;Гор Вербински;США;приключения, боевик;2003;13;8.9
Душа;Пит Доктер;США;анимация, семейный, приключения, комедия;2020;14;8.9
Шугалей 3;Михаил Вассербаум;Россия;боевик;2021;15;Не указано
Кошачьи миры Луиса Уэйна;Уилл Шарп;Великобритания;биография, драма, исторический;2021;16;8.9
Круэлла;Крэйг Гиллеспи;США;комедия;2021;17;8.9
Как приручить дракона 3;Дин Деблуа;США;анимация, семейный, комедия, приключения;2018;18;8.9
Райя и последний дракон;Пол Бриггс;США;анимация;2021;20;8.8
Ходячий замок;Хаяо Миядзаки;Япония;аниме , сказка, фантастика, мелодрама;2004;21;8.8
Человек божий;Елена Попович;Греция;драма;2021;22;8.8
Аватар;Джеймс Кэмерон;США;боевик, фантастика, триллер;2009;23;8.8
Начало;Кристофер Нолан;США / Великобритания;боевик, фантастика, триллер;2010;24;8.8
Ее заветное желание;Тамура Котаро;Япония;анимация, драма, мелодрама;2020;25;8.8
Аватар: Специальная версия;Джеймс Кэмерон;США;боевик, триллер, фантастика;2010;26;8.8
Джентльмены;Гай Ричи;США;боевик, криминал;2020;27;8.8
Джентльмены удачи;Александр Серый;СССР;криминал, комедия;1971;28;8.8
Изгой;Роберт Земекис;США;приключения, драма;2000;29;8.7
Леон;Люк Бессон;Франция;драма, триллер, криминал;1994;30;8.7
Бриллиантовая рука;Леонид Гайдай;СССР;комедия, приключения, криминал;1968;31;8.7
Зеленая книга;Питер Фаррелли;США;драма;2018;32;8.7
Терминатор 2: судный день;Джеймс Кэмерон;США / Франция;боевик, триллер, фантастика, приключения;1991;33;8.7
Главный герой;Шон Леви;США;фантастика, боевик, комедия, приключения;2021;34;8.7
Место встречи изменить нельзя;Станислав Говорухин;СССР;криминал, детектив, боевик;1979;35;8.7
Пираты Карибского моря: На странных берегах;Роб Маршалл;США;боевик, комедия, приключения;2011;36;8.7
Холодное сердце 2;Крис Бак;США;анимация, семейный, детский;2019;37;8.7
Тайна Коко;Ли Анкрич;США;анимация, приключения;2017;38;8.7
Эверест;Тодд Вилдерман;США;анимация;2019;39;8.7
Где ты, Адам?;Александр Запорощенко;Россия;документальный;2019;40;8.7
Гнев человеческий;Гай Ричи;Великобритания;криминал, боевик, триллер;2021;41;8.7
Холодное сердце;Крис Бак;США;приключения, анимация, семейный;2013;42;8.7
Иван Васильевич меняет профессию;Леонид Гайдай;СССР;комедия, фантастика;1973;43;8.7
Богемская рапсодия;Брайан Сингер;США / Великобритания;драма, биография, мюзикл;2018;44;8.7
Любовь и голуби;Владимир Меньшов;СССР;комедия, мелодрама;1984;45;8.7
А зори здесь тихие;Станислав Ростоцкий;СССР;исторический, драма, военный;1972;46;8.7
Форрест Гамп;Роберт Земекис;США;комедия, мелодрама, драма;1994;47;8.7
Не время умирать;Кэри Фукунага;США / Великобритания;боевик, криминал, триллер, приключения;2021;48;8.7
Гладиатор;Ридли Скотт;Великобритания / США;приключения, драма, боевик;2000;49;8.7
Вайолет Эвергарден. Фильм;Таити Исидатэ;Япония;анимация, драма, фэнтези;2020;50;8.7
Титаник;Джеймс Кэмерон;США;мелодрама, драма, приключения;1997;51;8.6
Терминатор 2: Судный день 3D;Джеймс Кэмерон;США;боевик, триллер;2017;52;8.6
Законопослушный гражданин;Ф. Гэри Грей;США;триллер, драма;2009;53;8.6
Малефисента: Владычица тьмы;Хоаким Роннинг;США;фэнтези, семейный, приключения;2019;54;8.6
Унесенные призраками;Хаяо Миядзаки;Япония;аниме , семейный, анимация, приключения;2001;55;8.6
12 стульев;Марк Захаров;СССР;комедия, детектив;1976;56;8.6
Властелин Колец: Братство Кольца;Питер Джексон;Новая Зеландия / США;приключения, боевик, фэнтези;2001;57;8.6
Твое имя;Макото Синкай;Япония;анимация, фэнтези, мелодрама, аниме ;2016;58;8.6
Матрица;Лилли (Энди) Вачовски;Австралия / США;боевик, фантастика, триллер;1999;59;8.6
Достать ножи;Райан Джонсон;США;детектив, драма, криминал, комедия;2019;60;8.6
Области тьмы;Нил Бергер;США;триллер;2011;61;8.6
Брат;Алексей Балабанов;Россия;боевик, драма;1997;62;8.6
В метре друг от друга;Джастин Бальдони;США;мелодрама, драма;2019;63;8.6
Ну, погоди!;Вячеслав Котеночкин;СССР;короткометражный, анимация;1969;64;8.6
Титаник 3D;Джеймс Кэмерон;США;приключения, драма, мелодрама;1997;65;8.6
Привидение;Джерри Цукер;США;драма, фэнтези, триллер, мистика, комедия;1990;66;8.6
Пираты Карибского моря: На краю света;Гор Вербински;США;сказка, боевик, комедия, приключения;2007;67;8.6
Криминальное чтиво;Квентин Тарантино;США;драма;1994;68;8.6
Храброе сердце;Мэл Гибсон;США;военный, биография, боевик, драма;1995;69;8.6
Назад в будущее;Роберт Земекис;США;приключения, фантастика, комедия, боевик;1985;70;8.6
ВАЛЛ-И;Эндрю Стэнтон;США;семейный, фэнтези, анимация;2008;71;8.6
Капернаум;Надин Лабаки;Ливан / Франция;драма;2018;72;8.6
Мстители: Война бесконечности;Энтони Руссо;США;боевик, фантастика;2018;73;8.6
Собачья жизнь 2;Гейл Манкусо;США;семейный;2019;74;8.6
Игры разума;Рон Ховард;США;мистика, драма, биография;2001;75;8.6
Я - легенда!;Френсис Лоуренс;США;драма, фантастика, ужасы;2007;76;8.6
Пятый элемент;Люк Бессон;Франция;приключения, триллер, боевик, фантастика, мелодрама;1997;77;8.6
Сумерки;Кэтрин Хардвик;США;фэнтези, мелодрама;2008;78;8.6
Назад в будущее 3;Роберт Земекис;США;приключения, фантастика, вестерн, комедия, боевик;1990;79;8.6
Рапунцель: Запутанная История;Байрон Ховард;США;семейный, мюзикл, анимация, комедия;2010;81;8.5
Отец;Флориан Зеллер;Великобритания / Франция;драма;2020;82;8.5
Игра;Дэвид Финчер;США;криминал, приключения, триллер;1997;83;8.5
Ледниковый период;Карлос Салдана;США;комедия, приключения, анимация, семейный;2002;84;8.5
Как приручить дракона;Дин Деблуа;США;анимация, семейный, сказка;2010;85;8.5
Король Лев;Джон Фавро;США;фантастика, семейный;2019;86;8.5
Зверополис;Байрон Ховард;США;анимация, боевик, приключения, семейный, комедия;2016;87;8.5
Чего хотят женщины;Нэнси Мейерс;США;мелодрама, комедия;2000;88;8.5
Бойцовский клуб;Дэвид Финчер;США / Германия;триллер, боевик, драма;1999;89;8.5
Властелин Колец: Две крепости;Питер Джексон;США / Новая Зеландия / Германия;приключения, фэнтези, драма;2002;90;8.5
Джанго освобожденный;Квентин Тарантино;США;вестерн;2012;91;8.5
Добро пожаловать, или Посторонним вход воспрещен;Элем Климов;СССР;семейный, комедия;1964;92;8.5
Загадочная история Бенджамина Баттона;Дэвид Финчер;США;мелодрама, драма, мистика, фантастика;2008;93;8.5
Адвокат дьявола;Тэйлор Хэкфорд;США / Германия;триллер, драма;1997;94;8.5
Зов предков;Крис Сандерс;США;приключения, анимация, семейный;2020;95;8.5
Кощей. Начало;Андрей Колпин;Россия;анимация, приключения, семейный;2021;96;8.5
Шерлок Холмс;Гай Ричи;США / Великобритания;драма, боевик, криминал, приключения, мистика;2009;97;8.5
Троя;Вольфганг Петерсен;США / Мальта / Великобритания;исторический, приключения;2004;98;8.5
Холоп;Клим Шипенко;Россия;комедия;2019;99;8.5
Пассажиры;Мортен Тильдум;США;фантастика, приключения, мелодрама;2016;100;8.5
Достучаться до небес;Томас Ян;Германия / Нидерланды / Бельгия;боевик, драма, приключения, комедия;1997;101;8.5
Веном;Рубен Флейшер;США;фантастика, боевик, триллер;2018;102;8.5
